Differential1,Differential2,Differential3,Local_Timestamp
2151,1791,1973,2024-11-03 21:42:02.940
2562,1908,2381,2024-11-03 21:42:02.943
2603,2196,2661,2024-11-03 21:42:02.945
2160,1936,1911,2024-11-03 21:42:02.947
2554,1824,1871,2024-11-03 21:42:02.949
2606,2137,2380,2024-11-03 21:42:02.950
2699,2076,2526,2024-11-03 21:42:02.951
2268,2044,1961,2024-11-03 21:42:02.952
2480,1812,1990,2024-11-03 21:42:02.953
2600,2182,2017,2024-11-03 21:42:02.955
2722,2267,2514,2024-11-03 21:42:03.118
2241,1924,1991,2024-11-03 21:42:03.119
2197,1883,1851,2024-11-03 21:42:03.120
2604,2019,2343,2024-11-03 21:42:03.121
2577,2182,2445,2024-11-03 21:42:03.122
2231,1788,2007,2024-11-03 21:42:03.123
2139,1667,1996,2024-11-03 21:42:03.124
2782,2291,2634,2024-11-03 21:42:03.127
2649,2144,2452,2024-11-03 21:42:03.127
2717,1795,2130,2024-11-03 21:42:03.128
2253,1654,2016,2024-11-03 21:42:03.238
2767,2023,2469,2024-11-03 21:42:03.239
2660,2093,2466,2024-11-03 21:42:03.300
2221,1751,1765,2024-11-03 21:42:03.305
2288,2017,2064,2024-11-03 21:42:03.309
2583,2186,2325,2024-11-03 21:42:03.312
2504,2343,2317,2024-11-03 21:42:03.317
2515,2017,1925,2024-11-03 21:42:03.320
2224,1740,1749,2024-11-03 21:42:03.322
2351,2053,1991,2024-11-03 21:42:03.324
2796,2271,2368,2024-11-03 21:42:03.326
2796,1993,2125,2024-11-03 21:42:03.419
2282,1827,2074,2024-11-03 21:42:03.420
2480,2335,2505,2024-11-03 21:42:03.422
2762,2121,2587,2024-11-03 21:42:03.423
2326,2086,2103,2024-11-03 21:42:03.478
2377,1744,1812,2024-11-03 21:42:03.479
2404,1941,2070,2024-11-03 21:42:03.481
2527,1967,2175,2024-11-03 21:42:03.482
2746,1888,1968,2024-11-03 21:42:03.483
2152,1745,1928,2024-11-03 21:42:03.485
2279,2064,1845,2024-11-03 21:42:03.598
2720,2402,2242,2024-11-03 21:42:03.599
2635,1985,1962,2024-11-03 21:42:03.601
2037,2066,1775,2024-11-03 21:42:03.603
2437,2100,2035,2024-11-03 21:42:03.604
2428,2316,2331,2024-11-03 21:42:03.606
2595,2110,2173,2024-11-03 21:42:03.657
2168,1777,2219,2024-11-03 21:42:03.658
2480,2119,1956,2024-11-03 21:42:03.717
2471,1780,2668,2024-11-03 21:42:03.719
2443,1918,2294,2024-11-03 21:42:03.777
2047,1751,1959,2024-11-03 21:42:03.779
2336,1802,2221,2024-11-03 21:42:03.780
2734,2161,2398,2024-11-03 21:42:03.781
2559,2018,2097,2024-11-03 21:42:03.782
2150,1888,1853,2024-11-03 21:42:03.782
2254,2131,1718,2024-11-03 21:42:03.784
2622,2380,2248,2024-11-03 21:42:03.839
2966,1912,2223,2024-11-03 21:42:03.841
2182,1791,1963,2024-11-03 21:42:03.843
2371,1888,2293,2024-11-03 21:42:03.957
2442,2049,2186,2024-11-03 21:42:03.960
2288,2261,2225,2024-11-03 21:42:03.963
