Differential1,Differential2,Differential3,Emotion,Local_Timestamp
2205,1823,2000,Positive,2024-11-20 11:13:19.080
2662,2165,2403,Positive,2024-11-20 11:13:19.082
2129,1725,1903,Positive,2024-11-20 11:13:19.198
2614,2199,2477,Positive,2024-11-20 11:13:19.200
2112,1719,1888,Positive,2024-11-20 11:13:19.201
2654,2058,2256,Positive,2024-11-20 11:13:19.203
2405,2006,2126,Positive,2024-11-20 11:13:19.204
2427,1991,2174,Positive,2024-11-20 11:13:19.257
2728,2002,2220,Positive,2024-11-20 11:13:19.260
2288,1847,2035,Positive,2024-11-20 11:13:19.262
2682,2108,2401,Positive,2024-11-20 11:13:19.264
2178,1731,1911,Positive,2024-11-20 11:13:19.358
2767,2080,2170,Positive,2024-11-20 11:13:19.359
2460,1992,2134,Positive,2024-11-20 11:13:19.361
2450,1981,2180,Positive,2024-11-20 11:13:19.364
2623,2014,2177,Positive,2024-11-20 11:13:19.365
2311,1905,2087,Positive,2024-11-20 11:13:19.367
2735,2125,2375,Positive,2024-11-20 11:13:19.450
2306,1874,2064,Positive,2024-11-20 11:13:19.452
2786,2134,2315,Positive,2024-11-20 11:13:19.455
2195,1775,1953,Positive,2024-11-20 11:13:19.498
2689,2068,2153,Positive,2024-11-20 11:13:19.501
2364,2040,2132,Positive,2024-11-20 11:13:19.506
2408,1996,2127,Positive,2024-11-20 11:13:19.509
2493,2034,2153,Positive,2024-11-20 11:13:19.515
2326,1914,2096,Positive,2024-11-20 11:13:19.516
2749,2118,2329,Positive,2024-11-20 11:13:19.518
2187,1773,1971,Positive,2024-11-20 11:13:19.558
2810,2077,2344,Positive,2024-11-20 11:13:19.560
2385,1977,2107,Positive,2024-11-20 11:13:19.562
2447,2001,2122,Positive,2024-11-20 11:13:19.564
2499,2026,2147,Positive,2024-11-20 11:13:19.565
2362,1982,2132,Positive,2024-11-20 11:13:19.679
2502,2031,2143,Positive,2024-11-20 11:13:19.681
2366,1968,2137,Positive,2024-11-20 11:13:19.741
2784,2084,2342,Positive,2024-11-20 11:13:19.744
2205,1783,1909,Positive,2024-11-20 11:13:19.747
2774,2126,2305,Positive,2024-11-20 11:13:19.748
2403,1953,2096,Positive,2024-11-20 11:13:19.757
