Differential1,Differential2,Differential3,Emotion,Local_Timestamp
2822,2125,2337,Negative,2024-11-20 11:05:55.810
2473,2053,2159,Negative,2024-11-20 11:05:55.813
2471,2004,2149,Negative,2024-11-20 11:05:55.814
2807,2112,2254,Negative,2024-11-20 11:05:55.815
2352,1889,2079,Negative,2024-11-20 11:05:55.816
2587,2238,2590,Negative,2024-11-20 11:05:55.839
2165,1706,1910,Negative,2024-11-20 11:05:55.841
2747,2152,2477,Negative,2024-11-20 11:05:55.998
2499,2148,2165,Negative,2024-11-20 11:05:56.001
2487,2027,1903,Negative,2024-11-20 11:05:56.003
2672,2076,2200,Negative,2024-11-20 11:05:56.004
2338,1941,2122,Negative,2024-11-20 11:05:56.006
2636,2259,2483,Negative,2024-11-20 11:05:56.007
2179,1786,1967,Negative,2024-11-20 11:05:56.008
2632,2225,2514,Negative,2024-11-20 11:05:56.054
2170,1760,1940,Negative,2024-11-20 11:05:56.056
2703,2183,2456,Negative,2024-11-20 11:05:56.057
2438,2037,2233,Negative,2024-11-20 11:05:56.058
2495,2029,2147,Negative,2024-11-20 11:05:56.060
2544,2067,2197,Negative,2024-11-20 11:05:56.060
2346,1961,2128,Negative,2024-11-20 11:05:56.104
2595,2242,2547,Negative,2024-11-20 11:05:56.106
2214,1815,1974,Negative,2024-11-20 11:05:56.108
2624,2235,2557,Negative,2024-11-20 11:05:56.109
2480,2030,2166,Negative,2024-11-20 11:05:56.110
2478,2118,2158,Negative,2024-11-20 11:05:56.119
2551,2053,2178,Negative,2024-11-20 11:05:56.145
2378,1969,2135,Negative,2024-11-20 11:05:56.164
2650,2209,2498,Negative,2024-11-20 11:05:56.226
2240,1808,1982,Negative,2024-11-20 11:05:56.290
2617,2232,2521,Negative,2024-11-20 11:05:56.291
2217,1795,1970,Negative,2024-11-20 11:05:56.295
2620,2231,2546,Negative,2024-11-20 11:05:56.298
2332,1997,2144,Negative,2024-11-20 11:05:56.304
2515,2093,2160,Negative,2024-11-20 11:05:56.345
2521,2069,2190,Negative,2024-11-20 11:05:56.357
2396,2015,2144,Negative,2024-11-20 11:05:56.359
2689,2208,2467,Negative,2024-11-20 11:05:56.362
2217,1808,1983,Negative,2024-11-20 11:05:56.364
2607,2260,2587,Negative,2024-11-20 11:05:56.366
2342,1890,2021,Negative,2024-11-20 11:05:56.368
2544,2032,2186,Negative,2024-11-20 11:05:56.406
2488,2021,2155,Negative,2024-11-20 11:05:56.408
2406,2012,2136,Negative,2024-11-20 11:05:56.409
2736,2174,2223,Negative,2024-11-20 11:05:56.411
2233,1811,1978,Negative,2024-11-20 11:05:56.528
2637,2210,2495,Negative,2024-11-20 11:05:56.537
2228,1823,1988,Negative,2024-11-20 11:05:56.584
2577,2272,2716,Negative,2024-11-20 11:05:56.587
2379,1950,2087,Negative,2024-11-20 11:05:56.589
2487,2028,2146,Negative,2024-11-20 11:05:56.590
2505,2050,2178,Negative,2024-11-20 11:05:56.592
2459,2021,2138,Negative,2024-11-20 11:05:56.594
2767,2176,2426,Negative,2024-11-20 11:05:56.594
2236,1822,1977,Negative,2024-11-20 11:05:56.595
2692,2264,2567,Negative,2024-11-20 11:05:56.645
2250,1821,1970,Negative,2024-11-20 11:05:56.646
2635,2038,2190,Negative,2024-11-20 11:05:56.648
2492,2042,2160,Negative,2024-11-20 11:05:56.650
2450,2051,2145,Negative,2024-11-20 11:05:56.652
2768,2146,2299,Negative,2024-11-20 11:05:56.765
2420,2033,2135,Negative,2024-11-20 11:05:56.843
2705,2159,2423,Negative,2024-11-20 11:05:56.885
2220,1811,1983,Negative,2024-11-20 11:05:56.888
2591,2249,2575,Negative,2024-11-20 11:05:56.890
2221,1795,1986,Negative,2024-11-20 11:05:56.891
2630,2045,2222,Negative,2024-11-20 11:05:56.944
2503,2025,2172,Negative,2024-11-20 11:05:56.946
2453,2024,2138,Negative,2024-11-20 11:05:56.948
2767,2170,2366,Negative,2024-11-20 11:05:56.950
2237,1821,1996,Negative,2024-11-20 11:05:56.951
2572,2253,2564,Negative,2024-11-20 11:05:56.953
2190,1765,1938,Negative,2024-11-20 11:05:56.955
2645,2077,2255,Negative,2024-11-20 11:05:56.956
2492,2066,2154,Negative,2024-11-20 11:05:56.958
2438,2014,2154,Negative,2024-11-20 11:05:57.071
2464,2095,2160,Negative,2024-11-20 11:05:57.072
2422,2020,2142,Negative,2024-11-20 11:05:57.074
2761,2144,2373,Negative,2024-11-20 11:05:57.074
2251,1826,1999,Negative,2024-11-20 11:05:57.125
2580,2339,2561,Negative,2024-11-20 11:05:57.185
2148,1760,1904,Negative,2024-11-20 11:05:57.187
2739,2071,2272,Negative,2024-11-20 11:05:57.189
2469,2038,2238,Negative,2024-11-20 11:05:57.191
2424,2012,2139,Negative,2024-11-20 11:05:57.244
2873,2131,2307,Negative,2024-11-20 11:05:57.247
2285,1856,2029,Negative,2024-11-20 11:05:57.249
2603,2261,2547,Negative,2024-11-20 11:05:57.251
